code_type,code,canonical_icao,name
ICAO,CYPY,CYPY,Fort Chipewyan Airport - Fort Chipewyan - Canada
IATA,YPY,CYPY,Fort Chipewyan Airport - Fort Chipewyan - Canada
ICAO,CYQA,CYQA,Muskoka Airport - Muskoka - Canada
IATA,YQA,CYQA,Muskoka Airport - Muskoka - Canada
ICAO,CYQB,CYQB,Quebec Jean Lesage International Airport - Quebec - Canada
IATA,YQB,CYQB,Quebec Jean Lesage International Airport - Quebec - Canada
ICAO,CYQF,CYQF,Red Deer Regional Airport - Red Deer Industrial - Canada
IATA,YQF,CYQF,Red Deer Regional Airport - Red Deer Industrial - Canada
ICAO,CYQG,CYQG,Windsor Airport - Windsor - Canada
IATA,YQG,CYQG,Windsor Airport - Windsor - Canada
ICAO,CYQH,CYQH,Watson Lake Airport - Watson Lake - Canada
IATA,YQH,CYQH,Watson Lake Airport - Watson Lake - Canada
ICAO,CYQK,CYQK,Kenora Airport - Kenora - Canada
IATA,YQK,CYQK,Kenora Airport - Kenora - Canada
ICAO,CYQL,CYQL,Lethbridge County Airport - Lethbridge - Canada
IATA,YQL,CYQL,Lethbridge County Airport - Lethbridge - Canada
ICAO,CYQM,CYQM,Greater Moncton International Airport - Moncton - Canada
IATA,YQM,CYQM,Greater Moncton International Airport - Moncton - Canada
ICAO,CYQQ,CYQQ,Comox Airport - Comox - Canada
IATA,YQQ,CYQQ,Comox Airport - Comox - Canada
ICAO,CYQR,CYQR,Regina International Airport - Regina - Canada
IATA,YQR,CYQR,Regina International Airport - Regina - Canada
ICAO,CYQT,CYQT,Thunder Bay Airport - Thunder Bay - Canada
IATA,YQT,CYQT,Thunder Bay Airport - Thunder Bay - Canada
ICAO,CYQU,CYQU,Grande Prairie Airport - Grande Prairie - Canada
IATA,YQU,CYQU,Grande Prairie Airport - Grande Prairie - Canada
ICAO,CYQV,CYQV,Yorkton Municipal Airport - Yorkton - Canada
IATA,YQV,CYQV,Yorkton Municipal Airport - Yorkton - Canada
ICAO,CYQW,CYQW,North Battleford Airport - North Battleford - Canada
IATA,YQW,CYQW,North Battleford Airport - North Battleford - Canada
ICAO,CYQX,CYQX,Gander International Airport - Gander - Canada
IATA,YQX,CYQX,Gander International Airport - Gander - Canada
ICAO,CYQY,CYQY,Sydney / J.A. Douglas McCurdy Airport - Sydney - Canada
IATA,YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport - Sydney - Canada
ICAO,CYQZ,CYQZ,Quesnel Airport - Quesnel - Canada
IATA,YQZ,CYQZ,Quesnel Airport - Quesnel - Canada
ICAO,CYRB,CYRB,Resolute Bay Airport - Resolute - Canada
IATA,YRB,CYRB,Resolute Bay Airport - Resolute - Canada
ICAO,CYRI,CYRI,Rivi̬re-du-Loup Airport - Riviere Du Loup - Canada
IATA,YRI,CYRI,Rivi̬re-du-Loup Airport - Riviere Du Loup - Canada
ICAO,CYRJ,CYRJ,Roberval Airport - Roberval - Canada
IATA,YRJ,CYRJ,Roberval Airport - Roberval - Canada
ICAO,CYRM,CYRM,Rocky Mountain House Airport - Rocky Mountain House - Canada
IATA,YRM,CYRM,Rocky Mountain House Airport - Rocky Mountain House - Canada
ICAO,CYRT,CYRT,Rankin Inlet Airport - Rankin Inlet - Canada
IATA,YRT,CYRT,Rankin Inlet Airport - Rankin Inlet - Canada
ICAO,CYSB,CYSB,Sudbury Airport - Sudbury - Canada
IATA,YSB,CYSB,Sudbury Airport - Sudbury - Canada
ICAO,CYSC,CYSC,Sherbrooke Airport - Sherbrooke - Canada
IATA,YSC,CYSC,Sherbrooke Airport - Sherbrooke - Canada
ICAO,CYSJ,CYSJ,Saint John Airport - St. John - Canada
IATA,YSJ,CYSJ,Saint John Airport - St. John - Canada
ICAO,CYSM,CYSM,Fort Smith Airport - Fort Smith - Canada
IATA,YSM,CYSM,Fort Smith Airport - Fort Smith - Canada
ICAO,CYSR,CYSR,Nanisivik Airport - Nanisivik - Canada
IATA,YSR,CYSR,Nanisivik Airport - Nanisivik - Canada
ICAO,CYSU,CYSU,Summerside Airport - Summerside - Canada
IATA,YSU,CYSU,Summerside Airport - Summerside - Canada
ICAO,CYSY,CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport - Sachs Harbour - Canada
IATA,YSY,CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport - Sachs Harbour - Canada
ICAO,CYTE,CYTE,Cape Dorset Airport - Cape Dorset - Canada
IATA,YTE,CYTE,Cape Dorset Airport - Cape Dorset - Canada
ICAO,CYTH,CYTH,Thompson Airport - Thompson - Canada
